frame,trans_error,rot_error_deg
502,0.107238,0.317216
503,0.0808565,0.808153
504,0.391803,0.374815
505,0.108912,0.287994
506,0.714808,1.17515
507,0.641748,0.447819
508,0.0710304,0.214178
509,0.797459,1.22376
510,0.0733899,0.231284
511,0.693229,2.60135
512,1.29649,2.16625
513,0.12548,0.97964
514,0.157278,0.328594
515,0.386757,0.492575
516,0.0243812,0.222443
517,0.00884053,0.880596
518,0.940727,3.62553
519,0.0539719,0.264948
520,0.0241803,0.0532013
521,0.0601849,0.0889698
522,0.0576482,0.178188
523,0.141853,0.250347
524,0.493122,1.17328
525,0.369311,1.08812
526,0.409278,0.729824
527,0.193657,0.676052
528,0.0890702,0.244321
529,0.259933,0.3335
530,0.327036,0.372563
531,0.670694,0.448106
532,0.0559286,0.122659
533,0.133636,0.522192
534,0,1.57644
535,0.142915,1.24048
536,0.0503491,0.115482
537,0.0407071,0.160041
538,0.335163,0.578363
539,0.171289,0.396757
540,0.0800386,0.239851
541,0.130927,0.338814
542,0.611917,1.42858
543,0.0566289,0.136771
544,0.22717,0.576416
545,0.0159268,0.038075
546,0.196522,0.241415
547,0.022801,0.0446344
548,0.0459023,0.154366
549,0.0844732,0.12202
550,0.0401583,0.134527
551,0.890501,1.17944
552,0.0792435,0.207393
553,0.0175924,0.0465925
554,0.183915,0.474989
555,0.0308302,0.0927113
556,0.0787042,0.0966172
557,0.601242,1.15492
558,0.0750894,0.249021
559,0,0.0468811
560,0.0303056,0.0863253
561,0.0236616,0.0851739
562,0.0796624,0.184887
563,0.0675081,0.160531
564,0.0136033,0.0439785
565,0.160491,0.140951
566,0.0442209,0.214059
567,0.0695674,0.188218
568,0.161408,0.501503
569,0.0618472,0.129395
570,0.11185,0.428987
571,0.160554,0.230674
572,0.038199,0.143983
573,0.0826729,0.150789
574,0.0866569,0.238095
575,0,0.194829
576,0.0875268,0.263549
577,0.15386,0.145122
578,0,0.151013
579,0.0100928,0.0207441
580,0.0318103,0.0885187
581,0,0.0688621
582,0.323576,0.388297
583,0.0496393,0.182781
584,0.11581,1.05239
585,0.163688,0.526368
586,0.144295,0.373948
587,0.204514,0.968749
588,0.0276894,0.419773
589,0.340803,1.66174
590,0.0567617,0.29278
